43,Aquapark Slide.io,Xahit Game Studio,1.6,https://play.google.com/store/apps/details?id=com.aqua.slide
83,시크릿 펫,Ttgame,2.5,https://play.google.com/store/apps/details?id=com.secrepet.mas
27,Cowboy!,Lion Studios,2.7,https://play.google.com/store/apps/details?id=io.ngames.cowboy
196,트라하,NEXON Company,3.1,https://play.google.com/store/apps/details?id=com.nexon.traha
153,황제라 칭하라,"Clicktouch Co.,Ltd.",3.1,https://play.google.com/store/apps/details?id=com.wsy.google.wansuiye.kr
79,Cut It,Lion Studios,3.2,https://play.google.com/store/apps/details?id=com.stx.cutit
88,프렌즈마블,Kakao Games Corp.,3.3,https://play.google.com/store/apps/details?id=com.kakaogames.frmarble
37,Box Simulator for Brawl Stars: Open That Box!,Slayd Elers,3.4,https://play.google.com/store/apps/details?id=com.SlaydElers.BoxSimulator
18,Folding Blocks,Popcore Games,3.4,https://play.google.com/store/apps/details?id=com.popcore.foldingblocks
189,크레이지아케이드 BnB M,NEXON Company,3.5,https://play.google.com/store/apps/details?id=com.nexon.bnb2
154,Craftsman: Building Craft,StarGame22,3.5,https://play.google.com/store/apps/details?id=com.craftsman.go
80,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,3.5,https://play.google.com/store/apps/details?id=com.nexon.fo4m
13,Jetpack Jump,Kwalee Ltd,3.5,https://play.google.com/store/apps/details?id=com.kwalee.jetpackjump
188,리니지M,NCSOFT Corporation,3.6,https://play.google.com/store/apps/details?id=com.ncsoft.lineagem19
62,Super Cats,Happy Universe Studios,3.6,https://play.google.com/store/apps/details?id=com.happyuniverse.pub.cats
146,메이플스토리M,NEXON Company,3.7,https://play.google.com/store/apps/details?id=com.nexon.nsc.maplem
84,마피아42,TEAM42,3.7,https://play.google.com/store/apps/details?id=com.sopt.mafia42.client
135,Never Stops,MOBILENOVO,3.8,https://play.google.com/store/apps/details?id=com.game.neverstops
95,인터넷 방송 키우기,달팽이 엔터테인먼트,3.8,https://play.google.com/store/apps/details?id=com.ambidexter
86,미니 블록 크래프트,Build Block Studio,3.8,https://play.google.com/store/apps/details?id=mini.block.craft.free.mc
